2022-09-02T14:22:03.755+02:00,IdeState,Active,Editor,1.ipynb,9,38
2022-09-02T14:22:04.756+02:00,IdeState,Active,Editor,1.ipynb,9,38
2022-09-02T14:22:05.759+02:00,IdeState,Active,Editor,1.ipynb,9,38
2022-09-02T14:22:06.764+02:00,IdeState,Active,Editor,1.ipynb,9,4
2022-09-02T14:22:07.768+02:00,IdeState,Active,Editor,1.ipynb,9,8
2022-09-02T14:22:08.770+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:09.774+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:10.777+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:11.780+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:12.781+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:13.785+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:14.787+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:15.792+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:16.796+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:17.799+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:18.804+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:19.809+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:20.811+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:21.815+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:22.820+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:23.824+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:24.827+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:25.828+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:26.830+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:27.832+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:28.836+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:29.840+02:00,IdeState,Active,Editor,1.ipynb,9,12
2022-09-02T14:22:30.840+02:00,IdeState,Active,Editor,1.ipynb,9,47
2022-09-02T14:22:31.842+02:00,IdeState,Active,Editor,1.ipynb,9,48
2022-09-02T14:22:32.846+02:00,IdeState,Active,Editor,1.ipynb,9,52
2022-09-02T14:22:33.847+02:00,IdeState,Active,Editor,1.ipynb,9,55
2022-09-02T14:22:34.849+02:00,IdeState,Active,Editor,1.ipynb,9,58
2022-09-02T14:22:35.849+02:00,IdeState,Active,Editor,1.ipynb,9,63
2022-09-02T14:22:36.854+02:00,IdeState,Active,Editor,1.ipynb,9,67
2022-09-02T14:22:37.434+02:00,Action,EditorBackSpace,Editor,1.ipynb,9,68
2022-09-02T14:22:37.857+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:38.860+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:39.865+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:40.869+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:41.872+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:42.873+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:43.878+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:44.881+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:45.885+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:46.889+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:47.778+02:00,Action,EditorBackSpace,Editor,1.ipynb,9,70
2022-09-02T14:22:47.890+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:48.894+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:49.897+02:00,IdeState,Active,Editor,1.ipynb,9,70
2022-09-02T14:22:50.901+02:00,IdeState,Active,Editor,1.ipynb,9,71
2022-09-02T14:22:51.902+02:00,IdeState,Active,Editor,1.ipynb,9,71
2022-09-02T14:22:52.905+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:53.910+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:54.914+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:55.919+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:56.923+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:57.928+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:58.929+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:22:59.929+02:00,IdeState,Active,Editor,1.ipynb,9,72
2022-09-02T14:23:00.933+02:00,IdeState,Active,Editor,1.ipynb,9,72
